Location,Population,STATEFP,PLACEFP,PLACENS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,hospital_count,Fire_station_counts_Population,Fire_station_counts_STATEFP,Fire_station_counts_PLACEFP,Fire_station_counts_PLACENS,Fire_station_counts_GEOID,Fire_station_counts_GEOIDFQ,Fire_station_counts_NAME,Fire_station_counts_NAMELSAD,Fire_station_counts_LSAD,Fire_station_counts_CLASSFP,Fire_station_counts_PCICBSA,Fire_station_counts_MTFCC,Fire_station_counts_FUNCSTAT,Fire_station_counts_ALAND,Fire_station_counts_AWATER,Fire_station_counts_INTPTLAT,Fire_station_counts_INTPTLON,Fire_station_counts_fire_station_count,Shortest lines_Population,Shortest lines_STATEFP,Shortest lines_PLACEFP,Shortest lines_PLACENS,Shortest lines_GEOID,Shortest lines_GEOIDFQ,Shortest lines_NAME,Shortest lines_NAMELSAD,Shortest lines_LSAD,Shortest lines_CLASSFP,Shortest lines_PCICBSA,Shortest lines_MTFCC,Shortest lines_FUNCSTAT,Shortest lines_ALAND,Shortest lines_AWATER,Shortest lines_INTPTLAT,Shortest lines_INTPTLON,Shortest lines_objectid,Shortest lines_fraarcid,Shortest lines_frfranode,Shortest lines_tofranode,Shortest lines_stfips,Shortest lines_cntyfips,Shortest lines_stcntyfips,Shortest lines_stateab,Shortest lines_country,Shortest lines_fradistrct,Shortest lines_rrowner1,Shortest lines_rrowner2,Shortest lines_rrowner3,Shortest lines_trkrghts1,Shortest lines_trkrghts2,Shortest lines_trkrghts3,Shortest lines_trkrghts4,Shortest lines_trkrghts5,Shortest lines_trkrghts6,Shortest lines_trkrghts7,Shortest lines_trkrghts8,Shortest lines_trkrghts9,Shortest lines_division,Shortest lines_subdiv,Shortest lines_branch,Shortest lines_yardname,Shortest lines_passngr,Shortest lines_stracnet,Shortest lines_tracks,Shortest lines_net,Shortest lines_miles,Shortest lines_km,Shortest lines_timezone,Shortest lines_shape_Length,Shortest lines_distance
Advance town," 502 ","18","00640","02397419","1800640",1600000US1800640,Advance,Advance town,"43",C1,N,G4110,A,"1525823","0","+39.9955521","-086.6199218",0," 502 ","18","00640","02397419","1800640",1600000US1800640,Advance,Advance town,"43",C1,N,G4110,A,"1525823","0","+39.9955521","-086.6199218",1," 502 ","18","00640","02397419","1800640",1600000US1800640,Advance,Advance town,"43",C1,N,G4110,A,"1525823","0","+39.9955521","-086.6199218","335390","494583","422279","422720","18","011","18011",IN,US,"4",CSXT,,,AMTK,NS,,,,,,,,CHICAGO,CRAWFORDSVILLE BRANCH,#N\A,,A,,1,M,4.6583764,7.49694511,E,0.0833647667748409,7910.77563282532
Akron town," 1,113 ","18","00748","02397420","1800748",1600000US1800748,Akron,Akron town,"43",C1,N,G4110,A,"1188354","0","+41.0388285","-086.0249228",0," 1,113 ","18","00748","02397420","1800748",1600000US1800748,Akron,Akron town,"43",C1,N,G4110,A,"1188354","0","+41.0388285","-086.0249228",1," 1,113 ","18","00748","02397420","1800748",1600000US1800748,Akron,Akron town,"43",C1,N,G4110,A,"1188354","0","+41.0388285","-086.0249228","335144","493733","425787","425794","18","085","18085",IN,US,"4",NS,,,,,,,,,,,,LAKE,MARION BRANCH,#N\A,,,,1,M,2.32992565,3.74965936,E,0.0339990449773353,15526.3790874993
Alamo town," 65 ","18","00784","02397421","1800784",1600000US1800784,Alamo,Alamo town,"43",C1,N,G4110,A,"161263","0","+39.9834292","-087.0552331",0," 65 ","18","00784","02397421","1800784",1600000US1800784,Alamo,Alamo town,"43",C1,N,G4110,A,"161263","0","+39.9834292","-087.0552331",1," 65 ","18","00784","02397421","1800784",1600000US1800784,Alamo,Alamo town,"43",C1,N,G4110,A,"161263","0","+39.9834292","-087.0552331","205909","506504","419777","420084","18","107","18107",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,2.17506158,3.50042931,E,0.0400713895936535,12931.4591600124
Albany town," 2,286 ","18","00802","02397422","1800802",1600000US1800802,Albany,Albany town,"43",C1,N,G4110,A,"5130921","16989","+40.3059544","-085.2321915",0," 2,286 ","18","00802","02397422","1800802",1600000US1800802,Albany,Albany town,"43",C1,N,G4110,A,"5130921","16989","+40.3059544","-085.2321915",1," 2,286 ","18","00802","02397422","1800802",1600000US1800802,Albany,Albany town,"43",C1,N,G4110,A,"5130921","16989","+40.3059544","-085.2321915","198906","499492","428770","429005","18","075","18075",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,FRANKFORT DISTRICT,#N\A,,,,1,M,3.4737755,5.59051095,E,0.0611083610528843,0
Albion town," 2,216 ","18","00820","02397423","1800820",1600000US1800820,Albion,Albion town,"43",C1,N,G4110,A,"4941869","0","+41.3965917","-085.4186942",0," 2,216 ","18","00820","02397423","1800820",1600000US1800820,Albion,Albion town,"43",C1,N,G4110,A,"4941869","0","+41.3965917","-085.4186942",1," 2,216 ","18","00820","02397423","1800820",1600000US1800820,Albion,Albion town,"43",C1,N,G4110,A,"4941869","0","+41.3965917","-085.4186942","334390","491069","427560","427837","18","113","18113",IN,US,"4",CSXT,,,CPRS,,,,,,,,,CHICAGO,GARRETT,#N\A,,,,2,M,6.23403996,10.03273487,E,0.118541572424035,0
Alexandria city," 5,165 ","18","00910","02393917","1800910",1600000US1800910,Alexandria,Alexandria city,"25",C1,N,G4110,A,"7834168","0","+40.2629639","-085.6736827",0," 5,165 ","18","00910","02393917","1800910",1600000US1800910,Alexandria,Alexandria city,"25",C1,N,G4110,A,"7834168","0","+40.2629639","-085.6736827",1," 5,165 ","18","00910","02393917","1800910",1600000US1800910,Alexandria,Alexandria city,"25",C1,N,G4110,A,"7834168","0","+40.2629639","-085.6736827","202444","503033","427076","427046","18","095","18095",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,O,0.73463059,1.1822757,E,0.0115054058169266,0
Alfordsville town," 66 ","18","00964","02397424","1800964",1600000US1800964,Alfordsville,Alfordsville town,"43",C1,N,G4110,A,"170030","1557","+38.5602959","-086.9485569",0," 66 ","18","00964","02397424","1800964",1600000US1800964,Alfordsville,Alfordsville town,"43",C1,N,G4110,A,"170030","1557","+38.5602959","-086.9485569",0," 66 ","18","00964","02397424","1800964",1600000US1800964,Alfordsville,Alfordsville town,"43",C1,N,G4110,A,"170030","1557","+38.5602959","-086.9485569","194601","495186","419593","419897","18","027","18027",IN,US,"4",CSXT,,,,,,,,,,,,LOUISVILLE,INDIANA (CSXT),#N\A,,,,1,M,2.88250322,4.63894854,C,0.0532306127767923,15565.7516995905
Alton town," 30 ","18","01270","02397425","1801270",1600000US1801270,Alton,Alton town,"43",C1,N,G4110,A,"445422","64400","+38.1200999","-086.4185946",0," 30 ","18","01270","02397425","1801270",1600000US1801270,Alton,Alton town,"43",C1,N,G4110,A,"445422","64400","+38.1200999","-086.4185946",1," 30 ","18","01270","02397425","1801270",1600000US1801270,Alton,Alton town,"43",C1,N,G4110,A,"445422","64400","+38.1200999","-086.4185946","336276","499743","422863","423242","18","025","18025",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,SOUTHERN-EAST DISTRICT,#N\A,,,S,1,M,5.98431291,9.63083734,E,0.104953055361819,29334.0974474737
Altona town," 216 ","18","01288","02397426","1801288",1600000US1801288,Altona,Altona town,"43",C1,N,G4110,A,"525053","0","+41.3521601","-085.1525395",0," 216 ","18","01288","02397426","1801288",1600000US1801288,Altona,Altona town,"43",C1,N,G4110,A,"525053","0","+41.3521601","-085.1525395",0," 216 ","18","01288","02397426","1801288",1600000US1801288,Altona,Altona town,"43",C1,N,G4110,A,"525053","0","+41.3521601","-085.1525395","204804","505395","429039","429139","18","033","18033",IN,US,"4",CSXT,,,,,,,,,,,,,,,GARRETT,,,0,Y,1.03460297,1.66503542,E,0.0198858309053341,0
Ambia town," 229 ","18","01342","02397427","1801342",1600000US1801342,Ambia,Ambia town,"43",C1,N,G4110,A,"390978","0","+40.4893107","-087.5162741",0," 229 ","18","01342","02397427","1801342",1600000US1801342,Ambia,Ambia town,"43",C1,N,G4110,A,"390978","0","+40.4893107","-087.5162741",1," 229 ","18","01342","02397427","1801342",1600000US1801342,Ambia,Ambia town,"43",C1,N,G4110,A,"390978","0","+40.4893107","-087.5162741","196132","496717","415999","416029","18","007","18007",IN,US,"4",KBSR,,,,,,,,,,,,,,,,,,0,O,0.14744142,0.23728443,E,0.00275151477309389,0
Amboy town," 311 ","18","01360","02397428","1801360",1600000US1801360,Amboy,Amboy town,"43",C1,N,G4110,A,"870341","213","+40.6027562","-085.9273589",0," 311 ","18","01360","02397428","1801360",1600000US1801360,Amboy,Amboy town,"43",C1,N,G4110,A,"870341","213","+40.6027562","-085.9273589",1," 311 ","18","01360","02397428","1801360",1600000US1801360,Amboy,Amboy town,"43",C1,N,G4110,A,"870341","213","+40.6027562","-085.9273589","196146","496731","425635","425679","18","103","18103",IN,US,"4",CERA,,,,,,,,,,,,,,,,,,0,O,0.65568669,1.05522755,E,0.0116544068828588,0
Amo town," 415 ","18","01450","02397430","1801450",1600000US1801450,Amo,Amo town,"43",C1,N,G4110,A,"1584757","0","+39.6888780","-086.6126921",0," 415 ","18","01450","02397430","1801450",1600000US1801450,Amo,Amo town,"43",C1,N,G4110,A,"1584757","0","+39.6888780","-086.6126921",1," 415 ","18","01450","02397430","1801450",1600000US1801450,Amo,Amo town,"43",C1,N,G4110,A,"1584757","0","+39.6888780","-086.6126921","341178","536832","422505","497904","18","063","18063",IN,US,"4",CSXT,,,,,,,,,,,,CHICAGO,ST LOUIS LINE,#N\A,,,S,2,M,4.1366556,6.65731518,E,0.0751981047912594,4030.7426447433
Anderson city," 55,099 ","18","01468","02393952","1801468",1600000US1801468,Anderson,Anderson city,"25",C1,Y,G4110,A,"107931284","278878","+40.0897656","-085.6894485",2," 55,099 ","18","01468","02393952","1801468",1600000US1801468,Anderson,Anderson city,"25",C1,Y,G4110,A,"107931284","278878","+40.0897656","-085.6894485",6," 55,099 ","18","01468","02393952","1801468",1600000US1801468,Anderson,Anderson city,"25",C1,Y,G4110,A,"107931284","278878","+40.0897656","-085.6894485","335732","495952","426922","426933","18","095","18095",IN,US,"4",CSXT,,,NS,,,,,,,,,CHICAGO,INDIANAPOLIS LINE,MARION BR,,,,1,M,0.04780886,0.07694106,E,0.000902104103509558,0
Andrews town," 1,053 ","18","01612","02397431","1801612",1600000US1801612,Andrews,Andrews town,"43",C1,N,G4110,A,"1643006","17667","+40.8599141","-085.6021244",0," 1,053 ","18","01612","02397431","1801612",1600000US1801612,Andrews,Andrews town,"43",C1,N,G4110,A,"1643006","17667","+40.8599141","-085.6021244",1," 1,053 ","18","01612","02397431","1801612",1600000US1801612,Andrews,Andrews town,"43",C1,N,G4110,A,"1643006","17667","+40.8599141","-085.6021244","335443","494700","427391","427655","18","069","18069",IN,US,"4",NS,,,,,,,,,,,,GREAT LAKES,HUNTINGTON DISTRICT,#N\A,,,,1,M,4.97393077,8.00478165,E,0.0931834735416422,0
Angola city," 9,420 ","18","01666","02393958","1801666",1600000US1801666,Angola,Angola city,"25",C1,Y,G4110,A,"17084219","122940","+41.6410900","-085.0109731",1," 9,420 ","18","01666","02393958","1801666",1600000US1801666,Angola,Angola city,"25",C1,Y,G4110,A,"17084219","122940","+41.6410900","-085.0109731",1," 9,420 ","18","01666","02393958","1801666",1600000US1801666,Angola,Angola city,"25",C1,Y,G4110,A,"17084219","122940","+41.6410900","-085.0109731","198851","499437","429516","429493","18","151","18151",IN,US,"4",IN,,,,,,,,,,,,FREMONT,,MAIN,,,,1,M,3.76847952,6.06479204,E,0.0558210432245707,0
Arcadia town," 1,504 ","18","01954","02397435","1801954",1600000US1801954,Arcadia,Arcadia town,"43",C1,N,G4110,A,"1426959","0","+40.1741726","-086.0210360",0," 1,504 ","18","01954","02397435","1801954",1600000US1801954,Arcadia,Arcadia town,"43",C1,N,G4110,A,"1426959","0","+40.1741726","-086.0210360",1," 1,504 ","18","01954","02397435","1801954",1600000US1801954,Arcadia,Arcadia town,"43",C1,N,G4110,A,"1426959","0","+40.1741726","-086.0210360","204420","505011","425284","425292","18","057","18057",IN,US,"4",ITMZ,,,,,,,,,,,,WESTERN,FORT WAYNE,INDPLS-TIPTON,,T,,1,M,2.67036929,4.29755139,E,0.0387899409987307,0
Argos town," 1,756 ","18","02044","02397436","1802044",1600000US1802044,Argos,Argos town,"43",C1,N,G4110,A,"3329701","25952","+41.2376211","-086.2531661",0," 1,756 ","18","02044","02397436","1802044",1600000US1802044,Argos,Argos town,"43",C1,N,G4110,A,"3329701","25952","+41.2376211","-086.2531661",1," 1,756 ","18","02044","02397436","1802044",1600000US1802044,Argos,Argos town,"43",C1,N,G4110,A,"3329701","25952","+41.2376211","-086.2531661","191160","491740","424253","424271","18","099","18099",IN,US,"4",EWR,,,,,,,,,,,,GREAT LAKES,CHICAGO,#N\A,,,,1,M,0.24304398,0.39114216,E,0.00444672615244246,0
Ashley town," 1,032 ","18","02458","02397441","1802458",1600000US1802458,Ashley,Ashley town,"43",C1,N,G4110,A,"4931538","0","+41.5214941","-085.0613983",0," 1,032 ","18","02458","02397441","1802458",1600000US1802458,Ashley,Ashley town,"43",C1,N,G4110,A,"4931538","0","+41.5214941","-085.0613983",1," 1,032 ","18","02458","02397441","1802458",1600000US1802458,Ashley,Ashley town,"43",C1,N,G4110,A,"4931538","0","+41.5214941","-085.0613983","195612","496197","429305","429339","18","151","18151",IN,US,"4",IN,,,,,,,,,,,,,,,,,,0,O,0.51927103,0.83568738,E,0.0100103577012303,0
Atlanta town," 761 ","18","02602","02397443","1802602",1600000US1802602,Atlanta,Atlanta town,"43",C1,N,G4110,A,"811750","0","+40.2138622","-086.0270179",0," 761 ","18","02602","02397443","1802602",1600000US1802602,Atlanta,Atlanta town,"43",C1,N,G4110,A,"811750","0","+40.2138622","-086.0270179",1," 761 ","18","02602","02397443","1802602",1600000US1802602,Atlanta,Atlanta town,"43",C1,N,G4110,A,"811750","0","+40.2138622","-086.0270179","205501","506096","425283","425284","18","057","18057",IN,US,"4",ITMZ,,,,,,,,,,,,WESTERN,FORT WAYNE,INDPLS-TIPTON,,T,,1,M,0.1257873,0.20243545,E,0.00182690216674826,0
Attica city," 3,205 ","18","02620","02394018","1802620",1600000US1802620,Attica,Attica city,"25",C1,N,G4110,A,"4671879","0","+40.2873715","-087.2451794",0," 3,205 ","18","02620","02394018","1802620",1600000US1802620,Attica,Attica city,"25",C1,N,G4110,A,"4671879","0","+40.2873715","-087.2451794",1," 3,205 ","18","02620","02394018","1802620",1600000US1802620,Attica,Attica city,"25",C1,N,G4110,A,"4671879","0","+40.2873715","-087.2451794","189859","490437","418418","418544","18","045","18045",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,S,2.22331417,3.57808448,E,0.0402966666817654,0
Auburn city," 13,724 ","18","02674","02394022","1802674",1600000US1802674,Auburn,Auburn city,"25",C1,Y,G4110,A,"20942419","0","+41.3676289","-085.0549798",1," 13,724 ","18","02674","02394022","1802674",1600000US1802674,Auburn,Auburn city,"25",C1,Y,G4110,A,"20942419","0","+41.3676289","-085.0549798",2," 13,724 ","18","02674","02394022","1802674",1600000US1802674,Auburn,Auburn city,"25",C1,Y,G4110,A,"20942419","0","+41.3676289","-085.0549798","202339","502928","429303","429308","18","033","18033",IN,US,"4",CSXT,,,,,,,,,,,,,,,,,,0,O,0.15731747,0.25317844,E,0.00273752279754838,0
Aurora city," 3,502 ","18","02782","02394030","1802782",1600000US1802782,Aurora,Aurora city,"25",C1,N,G4110,A,"8527500","632364","+39.0697744","-084.9047461",0," 3,502 ","18","02782","02394030","1802782",1600000US1802782,Aurora,Aurora city,"25",C1,N,G4110,A,"8527500","632364","+39.0697744","-084.9047461",1," 3,502 ","18","02782","02394030","1802782",1600000US1802782,Aurora,Aurora city,"25",C1,N,G4110,A,"8527500","632364","+39.0697744","-084.9047461","194556","495141","430016","430119","18","029","18029",IN,US,"4",CSXT,,,,,,,,,,,,LOUISVILLE,INDIANA (CSXT),#N\A,,,,1,M,1.96084181,3.15567531,E,0.0335712194276482,0
Austin city," 4,138 ","18","02800","02397445","1802800",1600000US1802800,Austin,Austin city,"25",C1,N,G4110,A,"8090192","0","+38.7399857","-085.8105870",0," 4,138 ","18","02800","02397445","1802800",1600000US1802800,Austin,Austin city,"25",C1,N,G4110,A,"8090192","0","+38.7399857","-085.8105870",1," 4,138 ","18","02800","02397445","1802800",1600000US1802800,Austin,Austin city,"25",C1,N,G4110,A,"8090192","0","+38.7399857","-085.8105870","206676","507271","426300","426124","18","143","18143",IN,US,"4",LIRC,CSXT,,INRD,,,,,,,,,LOUISVILLE,LOUISVILLE SECONDARY,LIRC MAIN,,,S,1,M,5.34923531,8.60877696,E,0.0820662930532851,0
Avilla town," 2,467 ","18","02872","02397446","1802872",1600000US1802872,Avilla,Avilla town,"43",C1,N,G4110,A,"4464044","0","+41.3637683","-085.2316825",0," 2,467 ","18","02872","02397446","1802872",1600000US1802872,Avilla,Avilla town,"43",C1,N,G4110,A,"4464044","0","+41.3637683","-085.2316825",1," 2,467 ","18","02872","02397446","1802872",1600000US1802872,Avilla,Avilla town,"43",C1,N,G4110,A,"4464044","0","+41.3637683","-085.2316825","199076","499664","428780","428763","18","113","18113",IN,US,"4",CSXT,,,,,,,,,,,,,,,,,,0,O,0.43949105,0.7072937,E,0.00714435886402073,0
Avon town," 23,611 ","18","02908","02396582","1802908",1600000US1802908,Avon,Avon town,"43",C1,N,G4110,A,"50061965","392570","+39.7607134","-086.3941455",1," 23,611 ","18","02908","02396582","1802908",1600000US1802908,Avon,Avon town,"43",C1,N,G4110,A,"50061965","392570","+39.7607134","-086.3941455",2," 23,611 ","18","02908","02396582","1802908",1600000US1802908,Avon,Avon town,"43",C1,N,G4110,A,"50061965","392570","+39.7607134","-086.3941455","201145","501734","423639","423672","18","063","18063",IN,US,"4",CSXT,,,,,,,,,,,,,,,AVON,,,0,Y,0.24527552,0.39473348,E,0.00459848190956033,0
Bainbridge town," 699 ","18","03142","02396584","1803142",1600000US1803142,Bainbridge,Bainbridge town,"43",C1,N,G4110,A,"1037444","0","+39.7613996","-086.8112601",0," 699 ","18","03142","02396584","1803142",1600000US1803142,Bainbridge,Bainbridge town,"43",C1,N,G4110,A,"1037444","0","+39.7613996","-086.8112601",1," 699 ","18","03142","02396584","1803142",1600000US1803142,Bainbridge,Bainbridge town,"43",C1,N,G4110,A,"1037444","0","+39.7613996","-086.8112601","206584","507179","421225","421341","18","133","18133",IN,US,"4",CSXT,,,,,,,,,,,,CHICAGO,MONON,#N\A,,,,1,M,5.74791387,9.25038919,E,0.0836643153321141,0
Bargersville town," 10,717 ","18","03394","02396585","1803394",1600000US1803394,Bargersville,Bargersville town,"43",C1,N,G4110,A,"48455608","45754","+39.5426372","-086.2032473",0," 10,717 ","18","03394","02396585","1803394",1600000US1803394,Bargersville,Bargersville town,"43",C1,N,G4110,A,"48455608","45754","+39.5426372","-086.2032473",2," 10,717 ","18","03394","02396585","1803394",1600000US1803394,Bargersville,Bargersville town,"43",C1,N,G4110,A,"48455608","45754","+39.5426372","-086.2032473","190680","491258","424199","424517","18","081","18081",IN,US,"4",INRD,,,,,,,,,,,,#N\A,INDIANAPOLIS (INRD),MAIN TRACK,,,C,1,M,11.98647937,19.29040724,E,0.18860050686575,0
Batesville city," 7,288 ","18","03664","02394080","1803664",1600000US1803664,Batesville,Batesville city,"25",C1,N,G4110,A,"15933983","185870","+39.2976981","-085.2134550",1," 7,288 ","18","03664","02394080","1803664",1600000US1803664,Batesville,Batesville city,"25",C1,N,G4110,A,"15933983","185870","+39.2976981","-085.2134550",1," 7,288 ","18","03664","02394080","1803664",1600000US1803664,Batesville,Batesville city,"25",C1,N,G4110,A,"15933983","185870","+39.2976981","-085.2134550","298808","532459","428463","428721","18","047","18047",IN,US,"4",CIND,,,,,,,,,,,,NORTHERN,CIND,#N\A,,,,1,M,3.25185026,5.23335617,E,0.0595660414319008,0
Battle Ground town," 1,877 ","18","03718","02396586","1803718",1600000US1803718,Battle Ground,Battle Ground town,"43",C1,N,G4110,A,"2644111","0","+40.5075126","-086.8526837",0," 1,877 ","18","03718","02396586","1803718",1600000US1803718,Battle Ground,Battle Ground town,"43",C1,N,G4110,A,"2644111","0","+40.5075126","-086.8526837",1," 1,877 ","18","03718","02396586","1803718",1600000US1803718,Battle Ground,Battle Ground town,"43",C1,N,G4110,A,"2644111","0","+40.5075126","-086.8526837","335540","494942","420957","421032","18","157","18157",IN,US,"4",CSXT,,,AMTK,TPW,,,,,,,,CHICAGO,MONON,#N\A,,A,,1,M,2.47897878,3.98953761,E,0.0372127715104265,0
Bedford city," 13,897 ","18","04114","02394104","1804114",1600000US1804114,Bedford,Bedford city,"25",C1,Y,G4110,A,"31623689","0","+38.8601670","-086.4895027",2," 13,897 ","18","04114","02394104","1804114",1600000US1804114,Bedford,Bedford city,"25",C1,Y,G4110,A,"31623689","0","+38.8601670","-086.4895027",3," 13,897 ","18","04114","02394104","1804114",1600000US1804114,Bedford,Bedford city,"25",C1,Y,G4110,A,"31623689","0","+38.8601670","-086.4895027","206279","506874","423087","423109","18","093","18093",IN,US,"4",,,,,,,,,,,,,,,,,,,0,A,0.44589188,0.71759485,E,0.00655830870736579,0
Beech Grove city," 14,492 ","18","04204","02394106","1804204",1600000US1804204,Beech Grove,Beech Grove city,"25",C1,N,G4110,A,"11574921","0","+39.7156688","-086.0870184",0," 14,492 ","18","04204","02394106","1804204",1600000US1804204,Beech Grove,Beech Grove city,"25",C1,N,G4110,A,"11574921","0","+39.7156688","-086.0870184",2," 14,492 ","18","04204","02394106","1804204",1600000US1804204,Beech Grove,Beech Grove city,"25",C1,N,G4110,A,"11574921","0","+39.7156688","-086.0870184","193612","494197","424967","425067","18","097","18097",IN,US,"4",CSXT,,,CIND,,,,,,,,,CHICAGO,SHELBYVILLE SECONDARY,#N\A,,,,1,M,1.19307732,1.92007566,E,0.0202209336008317,0
Berne city," 4,203 ","18","04888","02394149","1804888",1600000US1804888,Berne,Berne city,"25",C1,N,G4110,A,"5989731","38020","+40.6572705","-084.9555052",0," 4,203 ","18","04888","02394149","1804888",1600000US1804888,Berne,Berne city,"25",C1,N,G4110,A,"5989731","38020","+40.6572705","-084.9555052",1," 4,203 ","18","04888","02394149","1804888",1600000US1804888,Berne,Berne city,"25",C1,N,G4110,A,"5989731","38020","+40.6572705","-084.9555052","199527","500115","429250","429258","18","179","18179",IN,US,"4",WBCR,,,,,,,,,,,,,,,,,,0,O,0.20604211,0.3315933,E,0.00370821001779659,21147.8536149921
Bethany town," 99 ","18","04978","02396589","1804978",1600000US1804978,Bethany,Bethany town,"43",C1,N,G4110,A,"245040","363","+39.5338044","-086.3788210",0," 99 ","18","04978","02396589","1804978",1600000US1804978,Bethany,Bethany town,"43",C1,N,G4110,A,"245040","363","+39.5338044","-086.3788210",0," 99 ","18","04978","02396589","1804978",1600000US1804978,Bethany,Bethany town,"43",C1,N,G4110,A,"245040","363","+39.5338044","-086.3788210","206752","507347","423538","423380","18","109","18109",IN,US,"4",ISRR,,,,,,,,,,,,NORTHERN,PETERSBURG,#N\A,,,,1,M,5.95658489,9.58621333,E,0.0958796310159134,8.05251421907475
Beverly Shores town," 606 ","18","05158","02396590","1805158",1600000US1805158,Beverly Shores,Beverly Shores town,"43",C1,N,G4110,A,"9280365","5814316","+41.6911478","-086.9787744",0," 606 ","18","05158","02396590","1805158",1600000US1805158,Beverly Shores,Beverly Shores town,"43",C1,N,G4110,A,"9280365","5814316","+41.6911478","-086.9787744",1," 606 ","18","05158","02396590","1805158",1600000US1805158,Beverly Shores,Beverly Shores town,"43",C1,N,G4110,A,"9280365","5814316","+41.6911478","-086.9787744","335216","494188","419354","419641","18","127","18127",IN,US,"4",NICD,,,CSS,,,,,,,,,SOUTH SHORE,,MAIN,,C,,1,M,3.71470145,5.97824445,C,0.0685174417233884,0
Bicknell city," 2,989 ","18","05176","02394162","1805176",1600000US1805176,Bicknell,Bicknell city,"25",C1,N,G4110,A,"3504262","0","+38.7743123","-087.3077971",0," 2,989 ","18","05176","02394162","1805176",1600000US1805176,Bicknell,Bicknell city,"25",C1,N,G4110,A,"3504262","0","+38.7743123","-087.3077971",2," 2,989 ","18","05176","02394162","1805176",1600000US1805176,Bicknell,Bicknell city,"25",C1,N,G4110,A,"3504262","0","+38.7743123","-087.3077971","218303","518915","418360","418326","18","083","18083",IN,US,"4",ISRR,,,,,,,,,,,,,EDWARDSPORT PLANT SPUR,,,,,0,O,0.31825277,0.5121792,C,0.00548396555449161,4487.17102182231
Birdseye town," 412 ","18","05374","02396591","1805374",1600000US1805374,Birdseye,Birdseye town,"43",C1,N,G4110,A,"1647315","584","+38.3127212","-086.6985077",0," 412 ","18","05374","02396591","1805374",1600000US1805374,Birdseye,Birdseye town,"43",C1,N,G4110,A,"1647315","584","+38.3127212","-086.6985077",1," 412 ","18","05374","02396591","1805374",1600000US1805374,Birdseye,Birdseye town,"43",C1,N,G4110,A,"1647315","584","+38.3127212","-086.6985077","334448","491319","422264","422417","18","037","18037",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,SOUTHERN-EAST DISTRICT,#N\A,,,S,1,M,1.07337021,1.72742536,C,0.0184399738051734,0
Bloomfield town," 2,293 ","18","05716","02396592","1805716",1600000US1805716,Bloomfield,Bloomfield town,"43",C1,N,G4110,A,"3648403","0","+39.0261337","-086.9373638",0," 2,293 ","18","05716","02396592","1805716",1600000US1805716,Bloomfield,Bloomfield town,"43",C1,N,G4110,A,"3648403","0","+39.0261337","-086.9373638",2," 2,293 ","18","05716","02396592","1805716",1600000US1805716,Bloomfield,Bloomfield town,"43",C1,N,G4110,A,"3648403","0","+39.0261337","-086.9373638","194725","495310","419930","419978","18","055","18055",IN,US,"4",INRD,,,,,,,,,,,,#N\A,INDIANAPOLIS (INRD),MAIN TRACK,,,C,1,M,0.21505782,0.34610271,E,0.00399438143672894,0
Bloomingdale town," 270 ","18","05788","02396593","1805788",1600000US1805788,Bloomingdale,Bloomingdale town,"43",C1,N,G4110,A,"1506267","0","+39.8305621","-087.2501663",0," 270 ","18","05788","02396593","1805788",1600000US1805788,Bloomingdale,Bloomingdale town,"43",C1,N,G4110,A,"1506267","0","+39.8305621","-087.2501663",1," 270 ","18","05788","02396593","1805788",1600000US1805788,Bloomingdale,Bloomingdale town,"43",C1,N,G4110,A,"1506267","0","+39.8305621","-087.2501663","206285","506880","417477","417732","18","121","18121",IN,US,"4",,,,,,,,,,,,,,,,,,,0,A,0.6354959,1.02273356,E,0.0114432728302922,11912.6077994443
Bloomington city," 79,107 ","18","05860","02394196","1805860",1600000US1805860,Bloomington,Bloomington city,"25",C1,Y,G4110,A,"60216843","476982","+39.1637003","-086.5242642",0," 79,107 ","18","05860","02394196","1805860",1600000US1805860,Bloomington,Bloomington city,"25",C1,Y,G4110,A,"60216843","476982","+39.1637003","-086.5242642",6," 79,107 ","18","05860","02394196","1805860",1600000US1805860,Bloomington,Bloomington city,"25",C1,Y,G4110,A,"60216843","476982","+39.1637003","-086.5242642","193843","494428","422935","423247","18","105","18105",IN,US,"4",INRD,,,,,,,,,,,,#N\A,INDIANAPOLIS (INRD),MAIN TRACK,,,C,1,M,6.34903173,10.21779656,E,0.10688524535764,0
