Location,Population,STATEFP,PLACEFP,PLACENS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,hospital_count,Fire_station_counts_Population,Fire_station_counts_STATEFP,Fire_station_counts_PLACEFP,Fire_station_counts_PLACENS,Fire_station_counts_GEOID,Fire_station_counts_GEOIDFQ,Fire_station_counts_NAME,Fire_station_counts_NAMELSAD,Fire_station_counts_LSAD,Fire_station_counts_CLASSFP,Fire_station_counts_PCICBSA,Fire_station_counts_MTFCC,Fire_station_counts_FUNCSTAT,Fire_station_counts_ALAND,Fire_station_counts_AWATER,Fire_station_counts_INTPTLAT,Fire_station_counts_INTPTLON,Fire_station_counts_fire_station_count,Shortest lines_Population,Shortest lines_STATEFP,Shortest lines_PLACEFP,Shortest lines_PLACENS,Shortest lines_GEOID,Shortest lines_GEOIDFQ,Shortest lines_NAME,Shortest lines_NAMELSAD,Shortest lines_LSAD,Shortest lines_CLASSFP,Shortest lines_PCICBSA,Shortest lines_MTFCC,Shortest lines_FUNCSTAT,Shortest lines_ALAND,Shortest lines_AWATER,Shortest lines_INTPTLAT,Shortest lines_INTPTLON,Shortest lines_objectid,Shortest lines_fraarcid,Shortest lines_frfranode,Shortest lines_tofranode,Shortest lines_stfips,Shortest lines_cntyfips,Shortest lines_stcntyfips,Shortest lines_stateab,Shortest lines_country,Shortest lines_fradistrct,Shortest lines_rrowner1,Shortest lines_rrowner2,Shortest lines_rrowner3,Shortest lines_trkrghts1,Shortest lines_trkrghts2,Shortest lines_trkrghts3,Shortest lines_trkrghts4,Shortest lines_trkrghts5,Shortest lines_trkrghts6,Shortest lines_trkrghts7,Shortest lines_trkrghts8,Shortest lines_trkrghts9,Shortest lines_division,Shortest lines_subdiv,Shortest lines_branch,Shortest lines_yardname,Shortest lines_passngr,Shortest lines_stracnet,Shortest lines_tracks,Shortest lines_net,Shortest lines_miles,Shortest lines_km,Shortest lines_timezone,Shortest lines_shape_Length,Shortest lines_distance
Madison city," 12,211 ","18","45990","02395805","1845990",1600000US1845990,Madison,Madison city,"25",C1,Y,G4110,A,"22376690","712743","+38.7588294","-085.3971348",0," 12,211 ","18","45990","02395805","1845990",1600000US1845990,Madison,Madison city,"25",C1,Y,G4110,A,"22376690","712743","+38.7588294","-085.3971348",6," 12,211 ","18","45990","02395805","1845990",1600000US1845990,Madison,Madison city,"25",C1,Y,G4110,A,"22376690","712743","+38.7588294","-085.3971348","195803","496388","427845","427856","18","077","18077",IN,US,"4",CMPA,,,,,,,,,,,,,,,,,,0,X,0.34708832,0.55858562,E,0.00579551953039574,0
Marengo town," 828 ","18","46746","02396735","1846746",1600000US1846746,Marengo,Marengo town,"43",C1,N,G4110,A,"2761991","0","+38.3711625","-086.3427530",0," 828 ","18","46746","02396735","1846746",1600000US1846746,Marengo,Marengo town,"43",C1,N,G4110,A,"2761991","0","+38.3711625","-086.3427530",1," 828 ","18","46746","02396735","1846746",1600000US1846746,Marengo,Marengo town,"43",C1,N,G4110,A,"2761991","0","+38.3711625","-086.3427530","335620","495196","423433","423701","18","025","18025",IN,US,"4",NS,,,,,,,,,,,,MIDWEST,SOUTHERN-EAST DISTRICT,#N\A,,,S,1,M,4.13146112,6.64895546,E,0.0721183229440204,0
Marion city," 28,030 ","18","46908","02395009","1846908",1600000US1846908,Marion,Marion city,"25",C1,Y,G4110,A,"40670664","206410","+40.5499856","-085.6604201",1," 28,030 ","18","46908","02395009","1846908",1600000US1846908,Marion,Marion city,"25",C1,Y,G4110,A,"40670664","206410","+40.5499856","-085.6604201",5," 28,030 ","18","46908","02395009","1846908",1600000US1846908,Marion,Marion city,"25",C1,Y,G4110,A,"40670664","206410","+40.5499856","-085.6604201","205649","506244","427175","427215","18","053","18053",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,0.71725536,1.15431292,E,0.0107922328746627,0
Markle town," 1,080 ","18","47160","02396736","1847160",1600000US1847160,Markle,Markle town,"43",C1,N,G4110,A,"3758073","134508","+40.8295489","-085.3420136",0," 1,080 ","18","47160","02396736","1847160",1600000US1847160,Markle,Markle town,"43",C1,N,G4110,A,"3758073","134508","+40.8295489","-085.3420136",1," 1,080 ","18","47160","02396736","1847160",1600000US1847160,Markle,Markle town,"43",C1,N,G4110,A,"3758073","134508","+40.8295489","-085.3420136","335457","494755","427868","428190","18","069","18069",IN,US,"4",NS,,,,,,,,,,,,GREAT LAKES,HUNTINGTON DISTRICT,#N\A,,,,1,M,5.30786319,8.54219486,E,0.0868465738275243,11060.8078636694
Markleville town," 486 ","18","47178","02396737","1847178",1600000US1847178,Markleville,Markleville town,"43",C1,N,G4110,A,"1443577","0","+39.9763385","-085.6166766",0," 486 ","18","47178","02396737","1847178",1600000US1847178,Markleville,Markleville town,"43",C1,N,G4110,A,"1443577","0","+39.9763385","-085.6166766",0," 486 ","18","47178","02396737","1847178",1600000US1847178,Markleville,Markleville town,"43",C1,N,G4110,A,"1443577","0","+39.9763385","-085.6166766","195238","495823","427281","427328","18","095","18095",IN,US,"4",CSXT,,,,,,,,,,,,,,,,,,0,O,1.3387697,2.15454529,E,0.0204706861802781,634.961464043502
Marshall town," 272 ","18","47322","02396738","1847322",1600000US1847322,Marshall,Marshall town,"43",C1,N,G4110,A,"662832","0","+39.8476795","-087.1867846",0," 272 ","18","47322","02396738","1847322",1600000US1847322,Marshall,Marshall town,"43",C1,N,G4110,A,"662832","0","+39.8476795","-087.1867846",1," 272 ","18","47322","02396738","1847322",1600000US1847322,Marshall,Marshall town,"43",C1,N,G4110,A,"662832","0","+39.8476795","-087.1867846","206285","506880","417477","417732","18","121","18121",IN,US,"4",,,,,,,,,,,,,,,,,,,0,A,0.6354959,1.02273356,E,0.0114432728302922,19703.238913322
Martinsville city," 11,858 ","18","47448","02395032","1847448",1600000US1847448,Martinsville,Martinsville city,"25",C1,N,G4110,A,"23717257","285143","+39.4147106","-086.4316989",0," 11,858 ","18","47448","02395032","1847448",1600000US1847448,Martinsville,Martinsville city,"25",C1,N,G4110,A,"23717257","285143","+39.4147106","-086.4316989",1," 11,858 ","18","47448","02395032","1847448",1600000US1847448,Martinsville,Martinsville city,"25",C1,N,G4110,A,"23717257","285143","+39.4147106","-086.4316989","194723","495308","423380","423358","18","109","18109",IN,US,"4",ISRR,,,,,,,,,,,,NORTHERN,PETERSBURG,#N\A,,,,1,M,2.66773123,4.29330583,E,0.0387703171929605,0
Matthews town," 491 ","18","47592","02396741","1847592",1600000US1847592,Matthews,Matthews town,"43",C1,N,G4110,A,"912654","0","+40.3874569","-085.4977783",0," 491 ","18","47592","02396741","1847592",1600000US1847592,Matthews,Matthews town,"43",C1,N,G4110,A,"912654","0","+40.3874569","-085.4977783",1," 491 ","18","47592","02396741","1847592",1600000US1847592,Matthews,Matthews town,"43",C1,N,G4110,A,"912654","0","+40.3874569","-085.4977783","205650","506245","427651","427694","18","035","18035",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,1.46743097,2.36160595,E,0.0246679457617868,10108.3757570056
Mauckport town," 45 ","18","47628","02396742","1847628",1600000US1847628,Mauckport,Mauckport town,"43",C1,N,G4110,A,"518421","31395","+38.0249622","-086.1993418",0," 45 ","18","47628","02396742","1847628",1600000US1847628,Mauckport,Mauckport town,"43",C1,N,G4110,A,"518421","31395","+38.0249622","-086.1993418",0," 45 ","18","47628","02396742","1847628",1600000US1847628,Mauckport,Mauckport town,"43",C1,N,G4110,A,"518421","31395","+38.0249622","-086.1993418","197286","497871","424696","424712","18","061","18061",IN,US,"4",LNAL,,,,,,,,,,,,#N\A,,MAIN,,T,,1,M,1.8333229,2.95045312,E,0.0296636329160716,26547.4380682599
Mecca town," 270 ","18","48132","02396746","1848132",1600000US1848132,Mecca,Mecca town,"43",C1,N,G4110,A,"1017359","0","+39.7270981","-087.3316529",0," 270 ","18","48132","02396746","1848132",1600000US1848132,Mecca,Mecca town,"43",C1,N,G4110,A,"1017359","0","+39.7270981","-087.3316529",1," 270 ","18","48132","02396746","1848132",1600000US1848132,Mecca,Mecca town,"43",C1,N,G4110,A,"1017359","0","+39.7270981","-087.3316529","336536","502114","417040","417034","18","165","18165",IN,US,"4",CSXT,,,INRD,,,,,,,,,NASHVILLE,CED,#N\A,,,S,1,M,0.49086313,0.78996922,E,0.00711841857940305,5311.97277304107
